Prime_Minister,Start,End,Party
Arthur Balfour ,12/07/1902,04/12/1905,Conservative
Henry Campbell-Bannerman ,05/12/1905,03/04/1908,Liberal
H. H. Asquith ,08/04/1908,05/12/1916,Liberal
David Lloyd George ,06/12/1916,19/10/1922,Liberal
Bonar Law ,23/10/1922,20/05/1923,Conservative (Scot.U.)
Stanley Baldwin ,22/05/1923,22/01/1924,Conservative
Ramsay MacDonald ,22/01/1924,04/11/1924,Labour
Stanley Baldwin ,04/11/1924,04/06/1929,Conservative
Ramsay MacDonald ,05/06/1929,27/10/1931,Labour
Ramsay MacDonald ,27/10/1931,07/06/1935,National Labour
Stanley Baldwin ,07/06/1935,28/05/1937,Conservative
Neville Chamberlain ,28/05/1937,10/05/1940,Conservative
Winston Churchill ,10/05/1940,26/07/1945,Conservative
Clement Attlee ,26/07/1945,26/10/1951,Labour
Winston Churchill ,26/10/1951,05/04/1955,Conservative
Anthony Eden ,06/04/1955,09/01/1957,Conservative
Harold Macmillan ,10/01/1957,18/10/1963,Conservative
Alec Douglas-Home ,18/10/1963,16/10/1964,Conservative (Scot.U.)
Harold Wilson ,16/10/1964,19/06/1970,Labour
Edward Heath ,19/06/1970,04/03/1974,Conservative
Harold Wilson ,04/03/1974,05/04/1976,Labour
James Callaghan ,05/04/1976,04/05/1979,Labour
Margaret Thatcher ,04/05/1979,28/11/1990,Conservative
John Major ,28/11/1990,02/05/1997,Conservative
Tony Blair ,02/05/1997,27/06/2007,Labour
Gordon Brown ,27/06/2007,11/05/2010,Labour
David Cameron ,11/05/2010,13/07/2016,Conservative
Theresa May ,13/07/2016,24/07/2019,Conservative
Boris Johnson ,24/07/2019,06/09/2022,Conservative
Liz Truss ,06/09/2022,25/10/2022,Conservative
Rishi Sunak ,25/10/2022,,Conservative
